Tanggal,Tryout,Jumlah Soal,Benar,Salah,Kosong,Persen,Target,Status
28-Mar,Numerik,40,0,0,0,0%,70%,⬜
31-Mar,Verbal,40,0,0,0,0%,65%,⬜
3-Apr,Penalaran,40,0,0,0,0%,68%,⬜
4-Apr,Spasial,20,0,0,0,0%,60%,⬜
5-Apr,Full Simulasi,120,0,0,0,0%,67%,⬜
